"","cause_type","create_time","dataset","drop","causal_strength","finish_time","if_bugs","if_finish","if_writeDown","imc_click","imc_sports","task_id","condition_index","effect_type","cause_num","effect_num","rel_type","intvn"
"1","c1","10/1/21 13:23","three_pos_10_2_0_12.csv",0,2,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e1",1,1,"veridical","2"
"2","c2","10/1/21 13:23","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e1",2,1,"nonVeridical","1"
"3","c3","10/1/21 13:23","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e1",3,1,"nonVeridical","0"
"4","c1","10/1/21 13:23","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e2",1,2,"nonVeridical","2"
"5","c2","10/1/21 13:23","three_pos_10_2_0_12.csv",0,3,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e2",2,2,"veridical","1"
"6","c3","10/1/21 13:23","three_pos_10_2_0_12.csv",0,3,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e2",3,2,"nonVeridical","0"
"7","c1","10/1/21 13:23","three_pos_10_2_0_12.csv",0,3,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e3",1,3,"nonVeridical","2"
"8","c2","10/1/21 13:23","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e3",2,3,"nonVeridical","1"
"9","c3","10/1/21 13:23","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:48","0","Finish","0",1,"","cysyEA7qmqITJaQ50CGy",2,"e3",3,3,"veridical","0"
"10","c2","10/1/21 13:23","three_pos_10_2_0_12.csv",0,2,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e1",2,1,"nonVeridical","1"
"11","c1","10/1/21 13:23","three_pos_10_2_0_12.csv",0,8,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e1",1,1,"veridical","2"
"12","c3","10/1/21 13:23","three_pos_10_2_0_12.csv",0,10,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e1",3,1,"nonVeridical","0"
"13","c2","10/1/21 13:23","three_pos_10_2_0_12.csv",0,9,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e2",2,2,"veridical","1"
"14","c1","10/1/21 13:23","three_pos_10_2_0_12.csv",0,0,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e2",1,2,"nonVeridical","2"
"15","c3","10/1/21 13:23","three_pos_10_2_0_12.csv",0,0,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e2",3,2,"nonVeridical","0"
"16","c2","10/1/21 13:23","three_pos_10_2_0_12.csv",0,0,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e3",2,3,"nonVeridical","1"
"17","c1","10/1/21 13:23","three_pos_10_2_0_12.csv",0,0,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e3",1,3,"nonVeridical","2"
"18","c3","10/1/21 13:23","three_pos_10_2_0_12.csv",0,10,"10/1/21 13:45","0","Finish","0",1,"","KwWla3Y6SYwWyFfxK2OR",1,"e3",3,3,"veridical","0"
"19","c2","10/1/21 13:24","three_pos_10_2_0_12.csv",0,4,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e1",2,1,"nonVeridical","1"
"20","c1","10/1/21 13:24","three_pos_10_2_0_12.csv",0,5,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e1",1,1,"veridical","2"
